participant_id,fitting_status,target_of_interaction,sitting_distance,sitting_angle,social_behavior,nonsocial_behavior,social_behavior_percentage,moving_score_percentage,laughing_score_percentage,gazing_score_percentage,talking_score_percentage,touching_score_percentage,other_score_percentage
TZ06RL21,Match,Human,Close,Parallel,21.0,20.0,51.21951219512195,2.4390243902439024,0.0,0.0,48.78048780487805,0.0,0.0
ER09EF06,Match,Human,Far,45 degrees,10.0,15.0,40.0,12.0,8.0,0.0,20.0,0.0,0.0
DE09El22,Match,Robot,Close,Parallel,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ER08NZ19,Match,Robot,Close,Parallel,8.0,16.0,33.33333333333333,8.333333333333332,0.0,25.0,0.0,0.0,0.0
CH06US04,Match,Robot,close,Parallel,1.0,11.0,8.333333333333332,8.333333333333332,0.0,0.0,0.0,0.0,0.0
ER05AN01,Match,Robot,Close,Parallel,1.0,32.0,3.0303030303030303,0.0,0.0,3.0303030303030303,0.0,0.0,0.0
RI06LO15,Mismatch,Robot,Close,Parallel,3.0,15.0,16.666666666666664,11.11111111111111,0.0,5.555555555555555,0.0,0.0,0.0
EN07ER11,Match,Robot,Far,Parallel,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TA05IN13,Mismatch,Robot,Close,Parallel,1.0,31.0,3.125,0.0,0.0,3.125,0.0,0.0,0.0
TZ07LD16,Mismatch,Robot,Far,Parallel,33.0,24.0,57.89473684210527,0.0,0.0,57.89473684210527,0.0,0.0,0.0
ER04ED13,Mismatch,Robot,Close,Parallel,14.0,25.0,35.8974358974359,2.564102564102564,0.0,33.33333333333333,0.0,0.0,0.0
MS03EN19,Mismatch,Robot,mid,Parallel,7.0,32.0,17.94871794871795,10.256410256410255,2.564102564102564,5.128205128205128,0.0,0.0,0.0
ER03RA24,Match,Robot,Close,Parallel,2.0,28.0,6.666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,0.0
NZ07ND21,Match,Robot,Close,Parallel,12.0,14.0,46.15384615384615,15.384615384615385,0.0,15.384615384615385,0.0,0.0,15.384615384615385
ER06US12,Mismatch,Robot,Close,Parallel,4.0,41.0,8.88888888888889,2.2222222222222223,0.0,6.666666666666667,0.0,0.0,0.0
EN04ASXX,Match,Robot,Far,Perpendicular,5.0,18.0,21.73913043478261,8.695652173913043,4.3478260869565215,8.695652173913043,0.0,0.0,0.0
CH05AS17,Mismatch,Robot,Close,Parallel,3.0,23.0,11.538461538461538,7.6923076923076925,0.0,3.8461538461538463,0.0,0.0,0.0
IN07IN11,Match,Robot,Close,Parallel,29.0,9.0,76.31578947368422,5.263157894736842,0.0,63.1578947368421,5.263157894736842,0.0,2.631578947368421
HC03QL20,Match,Robot,Mid,45 degrees,3.0,22.0,12.0,4.0,0.0,8.0,0.0,0.0,0.0
AH08HU07,Match,Robot,Close,Parallel,11.0,10.0,52.38095238095239,4.761904761904762,0.0,47.61904761904761,0.0,0.0,0.0
IE07EX17,Match,Robot,Close,Parallel,16.0,39.0,29.09090909090909,5.454545454545454,0.0,23.636363636363637,0.0,0.0,0.0
EA06IO03,Mismatch,Robot,Close,Parallel,12.0,7.0,63.1578947368421,15.789473684210526,0.0,10.526315789473683,31.57894736842105,0.0,5.263157894736842
